UserID,subscriber_status,Gender,Race,email_flag,smh_flag,Age_brackets,Province,Channel,watch_date,dayname,monthname,watch_time,hour_of_day,day_classification,day_type,duration,screen_time
790069,Subscriber,male,white,1,1,Older Adult,Kwazulu Natal,MK,2016-01-19,Tue,Jan,22:51:00,22,04. Evening,Weekday,00:00:33,Short
2422598,Subscriber,male,black,1,1,Adult,Gauteng,Live Event,2016-01-26,Tue,Jan,20:44:00,20,04. Evening,Weekday,00:02:54,Short
810357,Subscriber,male,coloured,1,1,Older Adult,Kwazulu Natal,CNN,2016-02-23,Tue,Feb,05:07:00,5,01. Late Night,Weekday,00:01:03,Short
773141,Subscriber,male,black,1,1,Adult,Limpopo,Entertainment,2016-01-11,Mon,Jan,09:31:00,9,02. Morning,Weekday,00:03:30,Short
870332,Subscriber,male,Other,1,1,Adult,Limpopo,Africa Magic,2016-03-14,Mon,Mar,19:36:00,19,04. Evening,Weekday,00:01:02,Short
2370841,Subscriber,male,indian_asian,1,1,Older Adult,Gauteng,ICC Cricket World Cup 2011,2016-02-22,Mon,Feb,09:11:00,9,02. Morning,Weekday,00:14:00,Short
2370841,Subscriber,male,indian_asian,1,1,Older Adult,Gauteng,ICC Cricket World Cup 2011,2016-03-05,Sat,Mar,15:27:00,15,03. Afternoon,Weekend,00:05:42,Short
893227,Subscriber,male,black,1,1,Adult,Eastern Cape,SuperSport Blitz,2016-03-10,Thu,Mar,17:32:00,17,04. Evening,Weekday,00:01:09,Short
2421483,Subscriber,male,coloured,1,1,Older Adult,Western Cape,SuperSport Blitz,2016-03-21,Mon,Mar,06:16:00,6,02. Morning,Weekday,00:21:39,Short
2288692,Subscriber,male,indian_asian,1,1,Adult,Limpopo,ICC Cricket World Cup 2011,2016-03-06,Sun,Mar,06:04:00,6,02. Morning,Weekend,00:01:14,Short
810376,Subscriber,male,white,1,1,Older Adult,Gauteng,Cartoon Network,2016-03-15,Tue,Mar,12:10:00,12,03. Afternoon,Weekday,00:00:02,Short
790102,Subscriber,male,indian_asian,1,1,Adult,Limpopo,Cartoon Network,2016-02-10,Wed,Feb,21:21:00,21,04. Evening,Weekday,00:01:12,Short
2288719,Subscriber,male,black,1,1,Grand Parents,Limpopo,Cartoon Network,2016-01-17,Sun,Jan,21:04:00,21,04. Evening,Weekend,00:01:33,Short
810381,Subscriber,male,coloured,1,1,Older Adult,Western Cape,CNN,2016-02-26,Fri,Feb,00:17:00,0,01. Late Night,Weekday,00:17:40,Short
615496,Subscriber,Unclassified,Other,1,0,Teenage,Not Provided,MK,2016-01-20,Wed,Jan,19:10:00,19,04. Evening,Weekday,00:06:01,Short
822070,Subscriber,female,black,1,1,Adult,Gauteng,Live Event,2016-01-26,Tue,Jan,10:49:00,10,02. Morning,Weekday,00:04:20,Short
177269,Subscriber,Unclassified,Other,1,0,Teenage,Not Provided,M-Net,2016-01-09,Sat,Jan,08:25:00,8,02. Morning,Weekend,00:03:10,Short
804936,Subscriber,male,black,1,1,Older Adult,Gauteng,CNN,2016-02-21,Sun,Feb,07:26:00,7,02. Morning,Weekend,00:00:34,Short
907517,Subscriber,male,coloured,1,1,Older Adult,Free State,ICC Cricket World Cup 2011,2016-03-25,Fri,Mar,12:57:00,12,03. Afternoon,Weekday,00:36:30,Moderate
2361780,Subscriber,male,black,1,1,Adult,Kwazulu Natal,Live Event,2016-03-20,Sun,Mar,15:41:00,15,03. Afternoon,Weekend,00:00:00,Short
2370894,Subscriber,male,black,1,1,Adult,Western Cape,ICC Cricket World Cup 2011,2016-03-06,Sun,Mar,11:25:00,11,02. Morning,Weekend,00:04:56,Short
907539,Subscriber,male,black,1,1,Older Adult,Gauteng,ICC Cricket World Cup 2011,2016-03-26,Sat,Mar,14:06:00,14,03. Afternoon,Weekend,00:07:24,Short
907557,Subscriber,female,white,1,1,Older Adult,Gauteng,ICC Cricket World Cup 2011,2016-03-08,Tue,Mar,05:13:00,5,01. Late Night,Weekday,00:00:46,Short
611337,Subscriber,male,coloured,1,1,Adult,Gauteng,Live Event,2016-03-06,Sun,Mar,13:53:00,13,03. Afternoon,Weekend,00:00:36,Short
780546,Subscriber,male,black,1,1,Older Adult,Gauteng,CNN,2016-03-06,Sun,Mar,12:07:00,12,03. Afternoon,Weekend,00:21:27,Short
2422691,Subscriber,male,indian_asian,1,1,Adult,Western Cape,Cartoon Network,2016-01-16,Sat,Jan,11:59:00,11,02. Morning,Weekend,00:06:09,Short
2370925,Subscriber,male,coloured,1,1,Older Adult,Western Cape,Cartoon Network,2016-01-05,Tue,Jan,14:28:00,14,03. Afternoon,Weekday,00:00:17,Short
2216357,Subscriber,male,black,1,1,Adult,Western Cape,CNN,2016-03-13,Sun,Mar,09:03:00,9,02. Morning,Weekend,00:00:00,Short
2216357,Subscriber,male,black,1,1,Adult,Western Cape,Africa Magic,2016-03-17,Thu,Mar,12:05:00,12,03. Afternoon,Weekday,00:09:45,Short
